hostname,ip
ASB-A203-CP-1,10.6.50.12
ASB-A4-CP-1,10.6.50.245
ASB-C301-CP-1,10.6.50.16
ASB-C40D-CP-1,,10.6.50.20
B49-104A-CP-1,10.66.34.57
B66-120-CP-1,10.6.121.76
B66-130-CP-1,10.6.121.80
BNSN-C107-CP-1,10.6.94.217
BNSN-C407-CP-1,10.6.94.36
BNSN-W005-CP-1,10.6.94.24
BNSN-W006-CP-1,10.6.94.28
BNSN-W009-CP-1,10.6.94.12
BNSN-W010-CP-1,10.6.94.230
BNSN-W011-CP-1,10.2.94.247
BNSN-W012-CP-1,10.6.94.234
BNSN-W111-CP-1,10.6.94.16
BNSN-W112-CP-1,10.6.94.226
BNSN-W140-CP-1,10.6.94.20
BNSN-W141-CP-1,10.6.94.32
BNSN-W142-CP-1,10.6.94.222
BRMB-220-CP-1,10.26.65.36
BRMB-230-CP-1,10.22.64.253
BRMB-240-CP-1,10.26.65.32
BRMB-250-CP-1,10.26.65.28
BRMB-260-CP-1,10.26.65.40
BRMB-264-CP-1,10.26.65.12
BRMB-270-CP-1,10.26.65.24
BRMB-370-CP-1,10.26.65.44
BRMB-380-CP-1,10.26.65.16
BRMB-382-CP-1,10.26.65.20
BRWB-198-CP-1,10.26.51.117
BRWB-220-CP-1,10.66.51.53
BRWB-265-CP-1,10.22.50.253
BYUB-1101-CP-1,10.32.10.250
BYUB-2004-CP-1,10.32.11.250
BYUB-2202-CP-1,10.32.12.244
BYUB-3102-CP-1,10.32.13.250
BYUB-StudioC-CP-1,10.32.12.243
CB-110-CP-1,10.66.121.237
CB-125-CP-1,10.6.121.20
CB-230-CP-1,10.2.121.222
CB-254-CP-1,10.6.121.226
CB-256-CP-1,10.6.121.24
CB-270J-CP-1,10.66.25.249
CB-369-CP-1,10.6.121.56
CB-377-CP-1,10.6.121.28
CB-381-CP-1,10.6.121.32
CB-383-CP-1,10.66.121.241
CB-384-CP-1,10.66.121.245
CB-392-CP-1,10.6.121.44
CB-393-CP-1,10.6.121.60
CB-406-CP-1,10.6.121.64
CB-413-CP-1,10.13.112.48
CB-428-CP-1,10.6.121.36
CB-430-CP-1,10.6.121.40
